"검색조건 - 사고년도:2015~2017; 사고지역:서울특별시 :: 전체 :: ; 사고내용:사망사고, 중상사고, 경상사고, 부상신고; 음주운전 사고",,,,,,,,,,,,,,,,,,,,,
사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2015010400100105,2015년 1월 4일 07시,일요일,서울특별시 동작구 사당동,경상사고,0,0,5,0,차대차 - 추돌 - 주정차중,안전거리미확보,건조,맑음,교차로 - 교차로부근,이륜,남,52세,상해없음,승용,여,33세,경상
2015010400100329,2015년 1월 4일 19시,일요일,서울특별시 금천구 독산동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,40세,상해없음,승용,여,33세,경상
2015010400100422,2015년 1월 4일 22시,일요일,서울특별시 중구 남대문로5가,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전운전불이행,습기,흐림,단일로 - 기타,승용,남,25세,상해없음,승합,남,50세,경상
2015010500100009,2015년 1월 5일 01시,월요일,서울특별시 서대문구 연희동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,흐림,단일로 - 기타,승용,여,47세,상해없음,승용,남,39세,경상
2015010500100014,2015년 1월 5일 01시,월요일,서울특별시 양천구 신월동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,기타 - 기타,승용,남,55세,상해없음,승용,남,54세,경상
2015010500100030,2015년 1월 5일 02시,월요일,서울특별시 성동구 송정동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,기타,맑음,단일로 - 기타,승용,남,41세,상해없음,,,,
2015010500100041,2015년 1월 5일 03시,월요일,서울특별시 구로구 천왕동,사망사고,1,0,0,0,차량단독 - 전도전복,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,23세,사망,,,,
2015010500100046,2015년 1월 5일 04시,월요일,서울특별시 관악구 신림동,중상사고,0,2,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,52세,경상
2015010500100288,2015년 1월 5일 13시,월요일,서울특별시 강북구 수유동,경상사고,0,0,1,1,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,승용,남,60세,경상
2015010500100333,2015년 1월 5일 15시,월요일,서울특별시 송파구 잠실동,경상사고,0,0,1,0,차대차 - 측면직각충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,58세,경상
2015010500100510,2015년 1월 5일 20시,월요일,서울특별시 강서구 화곡동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,기타,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,여,20세,경상
2015010500100574,2015년 1월 5일 22시,월요일,서울특별시 영등포구 영등포동3가,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,습기,비,단일로 - 기타,승용,남,43세,상해없음,이륜,남,32세,경상
