"검색조건 - 사고년도:2018~2020; 사고지역:서울특별시 :: 전체 :: ; 사고내용:사망사고, 중상사고, 경상사고, 부상신고; 음주운전 사고",,,,,,,,,,,,,,,,,,,,,
사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018010100100040,2018년 1월 1일 02시,월요일,서울특별시 종로구 세종로,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,34세,상해없음,승용,남,57세,경상
2018010100100044,2018년 1월 1일 02시,월요일,서울특별시 관악구 신림동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,25세,상해없음,승용,남,51세,경상
2018010100100077,2018년 1월 1일 04시,월요일,서울특별시 중구 장충동2가,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,승용,남,58세,경상
2018010100100078,2018년 1월 1일 04시,월요일,서울특별시 종로구 서린동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,69세,중상
2018010100100162,2018년 1월 1일 10시,월요일,서울특별시 강남구 삼성동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,화물,남,74세,중상
2018010100100423,2018년 1월 1일 23시,월요일,서울특별시 중랑구 중화동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,69세,경상
2018010200100008,2018년 1월 2일 01시,화요일,서울특별시 용산구 보광동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,이륜,남,28세,상해없음,승용,남,44세,경상
2018010200100011,2018년 1월 2일 01시,화요일,서울특별시 영등포구 양평동3가,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,승용,여,44세,경상
2018010200100025,2018년 1월 2일 03시,화요일,서울특별시 서초구 방배동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,33세,상해없음,승용,남,28세,중상
2018010200100036,2018년 1월 2일 05시,화요일,서울특별시 구로구 구로동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,28세,중상,,,,
2018010200100345,2018년 1월 2일 18시,화요일,서울특별시 관악구 신림동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,59세,상해없음,승용,여,51세,경상
2018010200100451,2018년 1월 2일 22시,화요일,서울특별시 용산구 원효로1가,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,53세,상해없음,승용,여,38세,경상
2018010200100453,2018년 1월 2일 22시,화요일,서울특별시 서초구 반포동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,47세,상해없음,승용,남,62세,경상
2018010300100007,2018년 1월 3일 01시,수요일,서울특별시 중구 쌍림동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,화물,남,32세,경상
2018010300100017,2018년 1월 3일 02시,수요일,서울특별시 강서구 화곡동,중상사고,0,1,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,30세,중상,승용,남,28세,경상
2018010400100015,2018년 1월 4일 01시,목요일,서울특별시 송파구 신천동,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,26세,상해없음,승용,남,56세,경상
2018010400100017,2018년 1월 4일 01시,목요일,서울특별시 서초구 내곡동,경상사고,0,0,3,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,62세,경상
2018010400100032,2018년 1월 4일 03시,목요일,서울특별시 송파구 문정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,39세,상해없음,화물,남,50세,경상
2018010400100036,2018년 1월 4일 04시,목요일,서울특별시 송파구 석촌동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,61세,상해없음,승용,남,76세,경상
2018010400100449,2018년 1월 4일 22시,목요일,서울특별시 강남구 도곡동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,37세,상해없음,승용,남,44세,중상
2018010500100004,2018년 1월 5일 00시,금요일,서울특별시 강서구 마곡동,사망사고,1,2,0,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,32세,사망,승용,남,34세,중상
2018010500100006,2018년 1월 5일 00시,금요일,서울특별시 양천구 목동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,35세,상해없음,승용,남,64세,상해없음
2018010500100040,2018년 1월 5일 04시,금요일,서울특별시 금천구 독산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,이륜,남,37세,경상
