"검색조건 - 사고년도:2021~2023; 사고지역:서울특별시 :: 전체 :: ; 사고내용:사망사고, 중상사고, 경상사고, 부상신고; 음주운전 사고",,,,,,,,,,,,,,,,,,,,,
사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010100100001,2021년 1월 1일 00시,금요일,서울특별시 은평구 응암동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,39세,상해없음,원동기,남,40세,중상
2021010100100023,2021년 1월 1일 03시,금요일,서울특별시 금천구 독산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,33세,상해없음,승용,남,63세,경상
2021010100100028,2021년 1월 1일 04시,금요일,서울특별시 강남구 일원동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,32세,상해없음,보행자,남,47세,경상
2021010100100248,2021년 1월 1일 22시,금요일,서울특별시 강동구 천호동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,36세,상해없음,승용,여,31세,경상
2021010100100249,2021년 1월 1일 22시,금요일,서울특별시 양천구 신정동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,39세,상해없음,자전거,남,35세,중상
2021010200100010,2021년 1월 2일 02시,토요일,서울특별시 송파구 가락동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,기타,교차로 - 교차로안,승용,남,25세,상해없음,승용,남,45세,경상
2021010200100071,2021년 1월 2일 11시,토요일,서울특별시 강북구 수유동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,54세,상해없음,보행자,남,38세,중상
2021010200100314,2021년 1월 2일 19시,토요일,서울특별시 광진구 구의동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,44세,상해없음,승용,남,51세,경상
2021010200100348,2021년 1월 2일 20시,토요일,서울특별시 관악구 신림동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,남,43세,경상
2021010200100384,2021년 1월 2일 21시,토요일,서울특별시 강서구 화곡동,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,건조,기타,기타 - 기타,승용,여,30세,상해없음,승용,남,38세,기타불명
2021010200100418,2021년 1월 2일 22시,토요일,서울특별시 노원구 월계동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,53세,경상,승용,여,54세,경상
2021010300100001,2021년 1월 3일 00시,일요일,서울특별시 강북구 수유동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,50세,상해없음,이륜,남,38세,중상
2021010300100202,2021년 1월 3일 20시,일요일,서울특별시 영등포구 영등포동7가,중상사고,0,1,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,53세,경상
2021010300100203,2021년 1월 3일 20시,일요일,서울특별시 중랑구 면목동,경상사고,0,0,3,0,차대차 - 정면충돌,중앙선침범,건조,맑음,교차로 - 교차로안,승용,남,34세,상해없음,승용,남,35세,경상
2021010300100238,2021년 1월 3일 22시,일요일,서울특별시 강남구 역삼동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,기타,맑음,단일로 - 기타,승용,여,46세,상해없음,승용,남,29세,경상
2021010400100336,2021년 1월 4일 19시,월요일,서울특별시 관악구 신림동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,63세,경상,승용,남,59세,경상
2021010400100394,2021년 1월 4일 21시,월요일,서울특별시 성북구 길음동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,남,26세,경상
2021010400100396,2021년 1월 4일 21시,월요일,서울특별시 영등포구 신길동,경상사고,0,0,1,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,34세,상해없음,승용,여,32세,경상
2021010400100432,2021년 1월 4일 23시,월요일,서울특별시 광진구 중곡동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,57세,경상
2021010500100001,2021년 1월 5일 00시,화요일,서울특별시 동대문구 장안동,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,기타,기타,단일로 - 기타,원동기,남,34세,부상신고,,,,
2021010500100351,2021년 1월 5일 19시,화요일,서울특별시 동작구 상도1동,경상사고,0,0,2,0,차대차 - 추돌,기타,건조,맑음,단일로 - 터널,승용,남,45세,상해없음,승용,남,27세,경상
2021010500100397,2021년 1월 5일 21시,화요일,서울특별시 송파구 장지동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,서리/결빙,기타,단일로 - 기타,승용,여,31세,상해없음,승용,여,43세,경상
2021010600100022,2021년 1월 6일 05시,수요일,서울특별시 송파구 방이동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,승용,여,53세,중상
2021010600100477,2021년 1월 6일 21시,수요일,서울특별시 종로구 내자동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,적설,흐림,교차로 - 교차로부근,승용,남,47세,상해없음,승용,여,43세,경상
2021010600100482,2021년 1월 6일 21시,수요일,서울특별시 동대문구 전농동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,적설,눈,단일로 - 기타,승용,남,54세,상해없음,승용,여,40세,경상
2021010600100484,2021년 1월 6일 21시,수요일,서울특별시 관악구 봉천동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,적설,눈,단일로 - 기타,승용,남,27세,상해없음,승용,남,40세,경상
2021010600100571,2021년 1월 6일 23시,수요일,서울특별시 종로구 평창동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,기타 - 기타,승용,남,68세,상해없음,승용,남,26세,경상
2021010700100016,2021년 1월 7일 03시,목요일,서울특별시 송파구 잠실동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,눈,단일로 - 기타,승용,남,28세,상해없음,승용,여,48세,경상
2021010700100148,2021년 1월 7일 12시,목요일,서울특별시 노원구 상계동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,교차로 - 교차로안,승용,남,47세,상해없음,승용,남,63세,경상
2021010700100338,2021년 1월 7일 20시,목요일,서울특별시 중랑구 면목동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,교차로 - 교차로부근,승용,남,57세,상해없음,화물,남,63세,경상
2021010700100339,2021년 1월 7일 20시,목요일,서울특별시 강남구 압구정동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 지하차도(도로)내,승용,남,54세,상해없음,승용,남,33세,경상
2021010700100340,2021년 1월 7일 20시,목요일,서울특별시 은평구 진관동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,여,57세,경상
2021010700100369,2021년 1월 7일 22시,목요일,서울특별시 은평구 갈현동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,서리/결빙,맑음,기타 - 기타,승용,여,62세,상해없음,승용,남,40세,경상
2021010800100424,2021년 1월 8일 20시,금요일,서울특별시 마포구 동교동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,62세,경상
2021010800100505,2021년 1월 8일 22시,금요일,서울특별시 광진구 자양동,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,젖음/습기,맑음,단일로 - 기타,승용,남,29세,부상신고,,,,
2021010900100070,2021년 1월 9일 10시,토요일,서울특별시 강남구 압구정동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,승용,여,43세,경상
2021010900100334,2021년 1월 9일 18시,토요일,서울특별시 구로구 항동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,36세,상해없음,승용,남,34세,경상
2021010900100424,2021년 1월 9일 21시,토요일,서울특별시 강북구 미아동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,젖음/습기,기타,기타 - 기타,화물,남,38세,상해없음,승용,남,46세,경상
2021010900100429,2021년 1월 9일 21시,토요일,서울특별시 구로구 가리봉동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,서리/결빙,눈,단일로 - 기타,원동기,남,61세,상해없음,보행자,여,73세,중상
2021010900100430,2021년 1월 9일 21시,토요일,서울특별시 구로구 구로동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,남,58세,경상
2021011000100240,2021년 1월 10일 18시,일요일,서울특별시 노원구 하계동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,44세,상해없음,승용,남,53세,경상
2021011000100317,2021년 1월 10일 21시,일요일,서울특별시 강남구 청담동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,승용,남,51세,중상
2021011100100012,2021년 1월 11일 06시,월요일,서울특별시 성동구 성수동2가,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,49세,상해없음,승용,남,49세,경상
2021011100100261,2021년 1월 11일 15시,월요일,서울특별시 은평구 응암동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,기타,흐림,교차로 - 교차로부근,승용,남,50세,기타불명,승용,남,56세,경상
2021011100100448,2021년 1월 11일 20시,월요일,서울특별시 구로구 오류동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,이륜,남,26세,경상
2021011100100486,2021년 1월 11일 21시,월요일,서울특별시 강남구 청담동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,단일로 - 기타,화물,남,44세,기타불명,승용,남,63세,중상
2021011100100488,2021년 1월 11일 21시,월요일,서울특별시 송파구 방이동,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,52세,상해없음,승용,남,20세,경상
2021011100100525,2021년 1월 11일 22시,월요일,서울특별시 강동구 길동,중상사고,0,1,3,0,차대차 - 정면충돌,중앙선침범,서리/결빙,눈,단일로 - 기타,승용,남,37세,상해없음,승용,남,49세,중상
2021011100100526,2021년 1월 11일 22시,월요일,서울특별시 송파구 문정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,기타 - 기타,승용,남,30세,상해없음,승용,남,34세,경상
